Name,Nation,Club,Position,Age,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Composure,Interceptions,Heading,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,Gender,GK
Bernhard Zimmermann,Austria,Wolfsberger AC,ST,21,67,72,68,56,65,31,76,73,71,67,70,48,55,64,58,56,44,62,78,76,57,59,22,63,27,78,77,75,75,Medium,Medium,Right,4,3,M,
Ivan Zlobin,Russia,FC Famalicão,GK,26,67,66,65,61,11,29,66,30,28,5,9,18,5,15,42,11,11,14,55,35,70,37,10,14,13,55,25,59,28,Medium,Medium,Right,2,1,M,67
Kenneth Zohore,Denmark,Śląsk Wrocław,ST,29,67,61,67,48,64,26,70,54,67,68,66,38,66,71,48,38,58,49,51,32,61,64,37,67,11,77,32,88,71,Medium,Low,Left,3,3,M,
Ben Zolinski,Germany,Kaiserslautern,LM,31,67,70,64,61,64,59,74,76,65,69,63,55,62,59,60,61,50,63,71,70,69,65,63,54,62,74,83,75,62,Medium,Medium,Right,3,2,M,
Nadir Zortea,Italy,Bergamo Calcio,RWB,24,67,69,45,53,68,66,57,71,68,51,32,42,37,47,42,69,41,45,68,63,60,53,66,52,69,60,58,52,66,High,Medium,Right,1,2,M,
Adam Zreľák,Slovakia,Warta Poznań,ST,29,67,63,66,49,58,29,76,70,58,75,67,39,66,68,43,63,41,45,65,69,65,66,25,66,19,80,69,81,73,Medium,High,Left,4,2,M,
Luca Zuffi,Switzerland,FC Winterthur,CDM,33,67,57,65,69,64,64,61,59,55,63,64,69,63,65,67,70,67,68,65,70,62,68,64,59,64,63,64,60,60,Medium,Medium,Left,4,3,M,
Dario Župarić,Croatia,Portland Timbers,CB,31,67,44,22,45,54,67,78,45,44,28,20,59,19,20,43,24,15,34,48,53,64,61,65,70,63,73,75,83,72,Medium,Medium,Right,4,2,M,
Graham Zusi,United States,Sporting KC,RB,37,67,52,67,73,68,63,72,57,47,70,58,73,70,73,73,70,72,80,56,76,61,74,67,55,64,64,77,70,75,High,High,Right,4,3,M,
Paxten Aaronson,United States,Frankfurt,CAM,20,66,77,55,63,69,37,47,80,75,63,55,62,42,49,68,55,44,54,80,80,56,59,28,48,48,52,61,38,49,High,Medium,Right,3,4,M,
Abdel Hakim Abdallah,Comoros,Rodez AF,LWB,26,66,81,40,57,60,60,68,84,78,53,35,58,35,42,51,60,36,59,89,88,53,50,60,63,60,79,81,66,55,Medium,Medium,Left,3,2,M,
Ali Mohamed Abdallah,Comoros,Stade-Lausanne,RB,24,66,90,40,55,65,58,59,91,89,41,38,52,24,43,42,61,37,62,91,90,65,62,63,44,57,61,66,52,67,Medium,Medium,Right,3,2,M,
Aly Abeid,Mauritania,UTA Arad,LB,25,66,75,42,53,55,61,75,74,75,44,40,51,33,40,42,57,42,47,80,74,61,59,58,59,61,77,89,76,55,High,Medium,Left,3,2,M,
Charles Abi,France,Stade-Lausanne,ST,23,66,73,60,57,67,32,67,71,74,65,62,52,57,64,64,48,40,49,74,65,63,66,28,63,26,80,51,80,52,Medium,Low,Left,3,3,M,
Albert Acevedo,Chile,Club Magallanes,CB,40,66,42,29,41,28,67,70,33,49,32,26,45,24,38,39,27,31,21,50,62,69,58,68,70,60,64,66,73,71,Medium,Medium,Right,3,2,M,
Alonso Aceves,Mexico,Chicago Fire FC,LB,22,66,73,43,54,64,63,60,71,74,55,45,48,31,55,42,57,39,40,61,62,63,50,62,55,64,65,72,56,56,Medium,Medium,Left,3,2,M,
Aceves,Spain,CD Eldense,GK,20,66,68,63,67,9,24,63,20,31,8,10,25,11,14,41,15,15,16,30,50,57,37,15,10,13,57,27,71,27,Medium,Medium,Right,3,1,M,69
Vlad Achim,Romania,FCU 1948,CDM,34,66,54,60,65,59,62,71,53,54,56,58,64,52,65,66,61,58,57,64,71,63,72,62,57,62,66,75,74,61,Medium,Medium,Right,3,3,M,
Yaw Ackah,Ghana,Kayserispor,CDM,24,66,68,45,55,63,65,58,65,70,52,38,59,44,48,56,47,39,40,73,89,65,69,67,50,64,47,70,40,90,Medium,High,Right,3,3,M,
Carlos Adorno,Bolivia,Palmaflor,GK,22,66,66,65,60,11,27,64,26,28,5,8,27,8,17,33,12,13,14,37,47,62,34,13,12,10,39,16,35,24,Medium,Medium,Right,2,1,M,66
Danny Henriques,Portugal,FCU 1948,CB,26,66,50,26,50,38,66,71,46,53,26,20,57,34,39,44,35,25,24,46,49,66,62,66,65,64,67,72,72,70,High,Medium,Left,3,2,M,
Alban Ajdini,Kosovo,Stade-Lausanne,LM,24,66,74,66,63,69,33,51,75,73,66,64,62,42,66,65,61,61,58,78,74,65,67,33,56,25,64,45,54,48,High,Medium,Right,3,3,M,
Arlind Ajeti,Albania,CFR 1907 Cluj,CB,30,66,61,35,51,45,64,74,59,62,36,28,52,40,45,45,50,41,43,51,75,62,55,64,66,65,77,64,81,68,Low,Medium,Right,1,2,M,
Ufuk Akyol,Turkey,Antalyaspor,CDM,26,66,67,55,62,65,64,68,64,70,62,54,66,42,62,62,57,58,53,63,70,65,60,63,57,62,67,66,68,69,Medium,Medium,Right,3,3,M,
Nawaf Al Aqidi,Saudi Arabia,Al Nassr,GK,23,66,67,64,63,8,45,62,44,47,8,7,27,9,14,29,15,10,14,41,44,67,37,10,19,12,63,29,64,19,Medium,Medium,Right,3,1,M,65
Ali Al Hassan,Saudi Arabia,Al Nassr,CDM,26,66,67,51,60,63,61,70,68,67,60,55,65,39,42,60,46,37,50,63,65,62,60,66,54,63,65,75,67,74,Medium,Medium,Right,3,2,M,
Fawaz Al Sagour,Saudi Arabia,Al Shabab,RB,27,66,92,45,58,58,53,63,91,92,72,48,56,44,48,55,63,36,51,85,77,57,47,54,46,55,59,91,55,48,High,Medium,Right,3,2,M,
Hamdan Al Shamrani,Saudi Arabia,Ettifaq FC,LB,26,66,86,54,53,61,58,75,83,88,60,49,45,53,50,47,58,50,58,78,54,55,52,58,66,66,91,79,71,76,Medium,Low,Left,2,2,M,
Tomás Alarcón,Chile,FC Cartagena,CM,24,66,62,51,62,50,70,74,61,63,57,45,75,30,49,60,45,68,46,67,81,65,68,72,65,66,73,70,75,78,Medium,Medium,Right,3,2,M,
Lucas Albertengo,Argentina,Instituto,ST,32,66,65,66,63,64,27,69,63,66,70,66,59,66,70,67,62,52,59,65,54,65,68,26,68,23,73,73,71,60,High,Medium,Right,3,3,M,
Norbert Alblas,Holland,Excelsior,GK,28,66,66,64,70,12,35,63,35,34,13,11,26,16,29,51,12,18,17,30,49,65,44,25,20,14,60,30,62,24,Medium,Medium,Right,2,1,M,67
Alexandru Albu,Romania,FC Rapid 1923,CDM,30,66,62,63,62,63,63,77,61,63,60,60,62,42,51,61,57,62,61,62,64,61,64,63,65,62,75,81,76,75,High,Medium,Left,3,3,M,
Aldasoro,Spain,R. Racing Club,CDM,24,66,68,63,64,67,62,63,69,67,63,61,64,68,66,62,63,58,59,66,73,65,63,60,44,66,54,75,57,65,Medium,Medium,Right,2,2,M,
Julián Alfaro,Chile,Club Magallanes,RW,22,66,80,62,64,67,33,59,77,82,65,64,65,52,53,62,65,48,56,76,76,48,63,26,55,38,68,78,56,39,High,Low,Right,3,3,M,
Carmelo Algarañaz,Bolivia,Bolívar,ST,27,66,69,69,55,67,38,60,72,66,64,71,55,70,73,54,40,59,62,63,70,59,48,12,68,43,73,77,60,35,High,Medium,Left,3,2,M,
Mukhtar Ali,Saudi Arabia,Al Fateh,CDM,25,66,65,54,61,63,59,66,64,66,56,51,68,44,47,65,35,61,59,72,63,60,71,64,38,52,54,76,63,63,Medium,Medium,Right,3,2,M,
Jak Alnwick,England,Cardiff City,GK,30,66,66,64,64,11,46,65,42,53,12,14,31,11,44,52,20,29,21,50,52,61,47,20,17,20,59,41,59,39,Medium,Medium,Left,2,1,M,66
Joseda Álvarez,Spain,D. Alavés,RB,22,66,65,33,51,60,65,61,62,67,42,31,46,31,43,37,62,41,42,58,62,60,49,61,60,70,64,65,58,63,Medium,Medium,Right,2,2,M,
Iker Álvarez,Andorra,Villarreal CF B,GK,22,66,66,65,66,8,34,67,38,29,6,7,26,10,13,57,20,12,12,43,40,59,55,18,10,10,55,35,57,18,Medium,Medium,Right,3,1,M,67
Léo Chú,Brazil,Sounders FC,LM,23,66,82,64,55,76,28,55,81,83,59,65,50,57,63,53,64,47,49,78,71,49,53,24,39,27,62,54,61,38,Medium,Low,Left,3,4,M,
Lucas,Brazil,FC Dinamo 1948,CB,31,66,37,39,47,25,66,81,34,39,30,42,55,41,37,33,43,25,33,34,34,62,59,63,68,62,71,79,88,66,Medium,Medium,Right,3,2,M,
Ukra,Portugal,Rio Ave FC,RM,35,66,65,64,67,72,36,54,63,66,66,58,65,68,70,66,64,68,74,68,69,66,68,30,60,25,64,34,58,64,Medium,Low,Right,4,3,M,
Iván Anderson,Panama,Monagas SC,RB,25,66,72,32,52,55,64,64,71,73,48,27,45,29,29,50,58,35,33,66,70,63,55,66,62,63,72,67,66,55,High,Medium,Right,3,3,M,
Bruce Anderson,Scotland,Livingston,ST,25,66,79,67,51,64,19,63,82,77,64,68,36,65,62,53,49,44,62,75,65,65,59,14,63,14,77,65,64,55,Medium,Low,Right,3,3,M,
Fernando Andrade,Brazil,Casa Pia AC,LW,30,66,67,66,62,67,26,66,67,67,68,65,64,63,60,60,65,41,60,60,61,66,55,13,65,18,74,44,73,72,High,Medium,Right,2,3,M,
Aleksandar Andrejević,Serbia,Qingdao Hainiu,CB,31,66,59,38,54,56,65,74,59,59,53,18,65,22,31,64,28,47,20,63,53,56,62,63,64,63,74,70,76,72,Medium,Medium,Right,3,2,M,
Tino Anjorin,England,Portsmouth,RW,21,66,73,65,64,71,49,67,70,76,59,65,64,47,64,67,58,62,64,61,71,58,67,43,52,52,71,52,76,61,High,Medium,Right,3,3,M,
Celton Biai,Portugal,Vitória SC,GK,23,66,67,62,60,9,22,62,22,21,6,6,15,9,15,25,14,11,10,36,46,64,37,6,12,12,51,27,56,19,Medium,Medium,Right,3,1,M,69
Valentin Antov,Bulgaria,Cremonese,CB,22,66,54,36,47,47,65,74,50,57,40,32,50,41,46,52,28,42,32,59,63,66,57,64,68,66,73,69,79,70,Medium,High,Right,3,2,M,
Kévin Appin,France,Burgos CF,CM,25,66,69,61,63,62,64,66,72,66,64,61,67,52,60,62,56,44,51,67,76,65,66,67,58,59,70,75,66,56,High,Low,Right,3,2,M,
Walter Araujo,Paraguay,Metropolitanos,CAM,28,66,71,68,64,67,26,56,73,70,65,67,65,66,59,60,58,71,65,74,59,62,58,18,37,27,54,57,56,55,High,Medium,Right,3,3,M,
Jordan Archer,Scotland,QPR,GK,30,66,67,65,66,20,43,66,43,42,11,16,26,11,28,31,15,13,20,50,40,54,38,16,16,14,58,27,57,25,Medium,Medium,Right,2,1,M,67
Adu Ares,Spain,Athletic Club,LM,21,66,82,63,62,68,22,52,85,79,58,62,60,56,70,59,64,56,64,83,78,52,62,22,44,19,60,55,54,40,Medium,Medium,Right,4,3,M,
Gustavo Arévalos,Paraguay,Gral. Caballero,GK,38,66,64,65,61,11,31,66,33,29,5,9,12,6,12,50,11,11,8,28,40,62,21,10,12,13,43,23,40,22,Medium,Medium,Right,1,1,M,68
Yair Arismendi,Argentina,Sarmiento,LM,25,66,78,62,59,67,35,59,76,80,63,58,54,66,48,54,66,55,52,71,86,60,53,29,42,37,54,80,50,58,High,Medium,Left,3,3,M,
Kristian Arnstad,Norway,RSC Anderlecht,CM,20,66,68,56,65,67,60,64,73,63,53,53,63,51,46,67,58,63,62,80,86,64,63,66,32,62,53,67,58,76,Medium,Medium,Right,3,3,M,
Jann-Fiete Arp,Germany,Holstein Kiel,ST,23,66,77,64,56,68,31,67,75,79,64,65,34,64,55,60,68,38,70,76,70,62,60,22,63,24,81,62,78,44,Medium,Medium,Right,3,3,M,
Bright Akwo Arrey-Mbi,Germany,Hannover 96,CB,20,66,82,29,46,50,64,71,75,88,37,25,45,30,33,46,35,29,31,67,68,62,57,61,65,64,81,56,78,68,Medium,Medium,Left,3,2,M,
Serkan Asan,Turkey,Pendikspor,RB,24,66,76,43,56,66,63,53,76,76,57,30,61,47,41,43,61,40,64,70,86,63,60,63,56,66,57,65,39,70,Medium,High,Right,2,2,M,
Adrián Ascues,Peru,Sporting Cristal,CM,20,66,72,58,61,61,49,65,71,73,61,61,65,44,49,68,48,40,52,70,61,68,52,58,48,41,68,65,74,42,Medium,Medium,Left,2,3,M,
Kristoffer Askildsen,Norway,Sampdoria,CM,22,66,55,55,64,67,61,67,62,49,62,54,65,49,41,63,58,55,59,53,58,66,63,70,58,58,65,72,64,70,Medium,Medium,Right,3,2,M,
Dairon Asprilla,Colombia,Portland Timbers,LM,31,66,74,71,61,68,44,71,75,73,67,70,55,68,70,62,59,50,66,73,71,60,61,39,69,34,77,71,70,71,High,Medium,Right,3,3,M,
Yáser Asprilla,Colombia,Watford,CAM,19,66,67,59,66,69,47,59,62,71,66,58,71,45,54,67,62,53,64,71,52,65,62,40,42,43,55,58,64,48,Medium,Medium,Left,3,3,M,
Abdullah Ateef,Saudi Arabia,Al Ahli,CDM,31,66,28,46,72,60,65,44,27,28,65,41,78,34,60,75,70,53,65,61,52,65,74,69,47,60,48,29,50,47,Low,Medium,Right,3,2,M,
Nathaniel Atkinson,Australia,Hearts,RB,24,66,76,53,60,66,58,73,75,76,62,55,57,39,51,56,62,47,62,81,82,62,63,60,55,58,74,83,71,65,High,Medium,Right,4,3,M,
Jean-Kévin Augustin,France,FC Basel 1893,ST,26,66,61,68,60,67,30,53,62,60,73,68,48,69,67,61,65,42,52,68,70,60,62,22,56,17,62,43,59,47,Low,Low,Right,3,3,M,
Charlie Austin,England,Swindon Town,ST,34,66,45,70,56,60,35,70,47,44,68,68,46,68,78,58,56,49,59,60,52,69,68,44,69,22,74,45,83,66,Medium,Low,Right,2,2,M,
Durel Avounou,Congo,CFR 1907 Cluj,CM,26,66,70,63,61,67,61,69,69,71,66,61,68,47,52,61,52,41,49,67,65,66,64,59,76,60,84,75,73,49,Medium,Low,Left,3,3,M,
Nazinho,Portugal,Cercle Brugge,LWB,20,66,75,33,53,56,64,59,76,74,51,34,59,29,44,36,59,37,39,59,65,61,55,67,46,65,62,62,58,58,Medium,Medium,Left,2,2,M,
Pape Meissa Ba,Senegal,Grenoble Foot 38,ST,26,66,72,63,45,67,26,70,58,83,68,66,32,56,61,50,34,33,35,55,55,60,58,11,71,21,77,64,74,65,Medium,Medium,Right,3,3,M,
Ba Dun,China PR,Tianjin JMT FC,LM,28,66,85,61,58,67,41,66,86,85,60,59,58,58,54,60,58,51,60,87,62,66,58,48,55,37,75,74,63,62,Medium,Low,Right,2,3,M,
Edgar Babayan,Armenia,Randers FC,LM,27,66,80,58,61,67,42,65,81,80,64,55,58,54,62,65,62,50,60,74,76,57,66,42,50,38,70,65,64,65,Medium,Low,Right,4,3,M,
Felix Bacher,Austria,WSG Tirol,CB,23,66,57,34,41,38,65,79,62,52,35,30,46,28,35,30,24,27,33,52,48,55,59,60,64,65,78,74,84,73,Medium,Medium,Right,3,2,M,
Dominique Badji,Senegal,FC Cincinnati,ST,30,66,74,61,53,68,38,75,72,75,62,64,36,52,61,57,54,39,39,67,62,64,61,19,70,34,82,76,78,62,Medium,Low,Right,3,3,M,
Youssouph Badji,Senegal,Sp. Charleroi,ST,21,66,70,64,52,67,28,71,63,75,62,66,36,58,63,60,46,38,36,62,52,63,58,28,69,18,75,68,75,63,High,Medium,Right,3,2,M,
Gabriel Báez,Argentina,Nacional,LB,28,66,76,33,47,64,62,72,72,80,46,36,35,29,49,36,63,41,40,63,72,58,47,52,54,68,71,81,72,60,Medium,Medium,Left,3,2,M,
Bentley Baxter Bahn,Germany,SV Waldhof,CM,31,66,74,64,68,68,51,62,79,69,60,60,63,62,77,68,71,72,76,81,82,67,62,48,39,51,58,83,56,51,Medium,Medium,Right,3,3,M,
Mike-Steven Bähre,Germany,SCR Altach,CM,28,66,74,62,65,68,56,65,78,70,63,63,64,50,65,68,61,58,59,77,77,69,67,58,50,55,67,77,60,63,High,Medium,Right,4,3,M,
Michael Baidoo,Ghana,IF Elfsborg,CAM,24,66,81,56,61,66,50,59,82,81,62,58,61,40,55,64,52,40,43,84,83,65,53,52,49,50,66,61,58,55,High,Medium,Right,3,3,M,
Scott Bain,Scotland,Celtic,GK,31,66,66,62,68,13,51,61,50,52,14,12,45,15,19,62,16,21,16,65,53,64,59,24,16,10,65,30,66,32,Medium,Medium,Right,3,1,M,71
Saïd Bakari,Comoros,Sparta Rotterdam,RB,29,66,84,57,59,66,58,74,85,83,62,56,55,57,52,63,58,45,58,75,72,64,63,62,57,55,72,83,73,68,High,Low,Right,4,3,M,
Makana Baku,Germany,Legia Warszawa,LM,25,66,90,61,54,70,27,61,91,90,68,60,44,60,45,54,57,47,64,90,80,62,64,20,37,29,67,64,68,40,High,Medium,Right,4,3,M,
Romário Baldé,Guinea-Bissau,Nantong Zhiyun FC,LM,26,66,78,64,55,70,31,69,76,79,60,61,44,64,65,56,57,51,66,89,73,72,46,26,51,23,70,68,68,70,Medium,Low,Right,3,3,M,
Yasser Baldé,France,Stade Lavallois,CB,30,66,53,33,35,33,67,77,53,53,28,35,36,25,38,28,35,25,30,53,44,60,66,67,65,67,73,78,80,67,Medium,Medium,Right,3,2,M,
Dominic Ball,England,Ipswich,CDM,28,66,59,43,57,52,65,67,56,62,53,40,66,26,31,58,46,30,30,64,66,64,66,66,63,62,70,53,71,72,Low,High,Right,3,2,M,
Florian Ballas,Germany,Jahn Regensburg,CB,30,66,55,41,43,31,64,76,34,72,28,28,40,29,33,51,31,27,27,32,30,59,60,60,74,60,70,46,94,68,Low,Medium,Right,3,2,M,
Thierno Ballo,Austria,Wolfsberger AC,CAM,21,66,78,59,60,73,50,48,83,74,63,57,58,54,54,62,55,50,62,84,83,60,62,54,42,48,48,67,34,59,Medium,Medium,Right,3,4,M,
Axel Bamba,Côte d'Ivoire,R. Sporting,CB,24,66,78,33,54,51,64,78,72,83,44,27,54,28,44,55,52,29,36,56,51,67,66,66,55,60,80,65,87,69,Medium,Medium,Right,3,2,M,
Funsho Bamgboye,Nigeria,FC Rapid 1923,LW,24,66,78,63,56,67,25,67,77,78,67,63,48,59,53,53,56,51,61,75,73,63,61,24,43,25,63,75,68,55,Medium,Medium,Right,3,3,M,
Marcel Bär,Germany,FC Erzgebirge Aue,ST,31,66,82,64,60,66,40,65,81,82,62,68,55,65,54,61,62,44,52,70,67,62,60,28,62,40,79,73,70,39,High,Medium,Right,3,3,M,
Leandro Barcia,Uruguay,Defensor,RW,31,66,68,64,67,64,47,59,72,64,65,62,67,70,53,61,64,71,74,81,75,66,66,41,54,47,64,63,59,55,High,Medium,Right,3,3,M,
Martín Barrios,Uruguay,Liverpool,CM,24,66,61,57,64,62,61,63,64,59,59,54,70,55,56,67,55,58,57,66,68,62,59,64,54,61,63,68,64,56,Medium,Medium,Right,3,2,M,
Thierno Barry,France,FC Basel 1893,ST,20,66,75,67,47,66,22,62,69,80,66,71,33,60,70,47,48,46,51,78,61,60,66,14,66,19,75,63,71,35,Medium,Low,Right,3,2,M,
Maxime Barthelmé,France,En Avant Guingamp,RM,35,66,63,59,67,65,58,63,59,66,65,56,62,58,58,73,64,63,68,59,83,70,70,64,54,58,61,59,63,68,Medium,High,Left,3,4,M,
Mons Bassouamina,Congo,Pau FC,ST,25,66,81,64,53,69,21,63,82,80,67,68,41,45,61,54,54,32,34,69,71,56,64,19,61,18,78,71,68,35,Medium,Medium,Right,2,3,M,
Lewis Bate,England,Leeds United,CM,20,66,74,56,67,66,58,50,76,73,58,55,69,45,46,68,61,51,64,83,84,64,67,61,42,60,46,70,37,60,Medium,Medium,Left,3,3,M,
Dominic Baumann,Germany,Hallescher FC,ST,28,66,67,65,53,60,29,74,64,69,69,66,48,53,60,55,49,32,51,67,78,63,61,27,63,23,78,61,83,66,High,Low,Right,3,3,M,
Furkan Bayır,Turkey,Alanyaspor,CB,23,66,61,31,43,52,65,71,60,62,32,28,50,32,40,31,29,28,28,61,57,70,55,64,61,65,69,70,70,75,Low,High,Right,2,2,M,
Tom Bayliss,England,Shrewsbury,CAM,24,66,72,59,65,67,59,68,75,69,62,61,66,48,52,67,58,60,64,66,65,65,69,56,57,58,71,74,66,63,High,High,Right,3,3,M,
Raúl Becerra,Argentina,Dep. Cuenca,ST,36,66,53,68,46,66,28,67,54,53,69,69,33,57,66,50,44,49,41,58,41,63,54,17,72,22,80,65,82,29,High,Medium,Right,3,3,M,
Tobias Bech,Denmark,AGF,CM,21,66,80,66,64,70,58,68,81,79,66,69,62,57,46,65,61,64,63,75,58,67,66,55,64,59,79,75,69,54,High,Medium,Left,3,3,M,
Ismajl Beka,Kosovo,FC Luzern,CB,23,66,58,37,36,27,65,76,56,60,28,38,38,25,38,36,26,33,32,44,34,59,50,67,68,69,76,68,81,73,Medium,Medium,Left,3,2,M,
Joe Bell,New Zealand,Viking FK,CM,24,66,61,59,66,63,62,76,60,61,66,56,65,53,48,64,65,64,66,66,74,62,65,62,59,61,69,84,73,73,Medium,High,Right,3,3,M,
Mohammed Ali Bemammer,Morocco,NorthEast United,CDM,33,66,57,39,53,41,64,82,54,59,34,34,58,35,35,50,42,31,45,51,63,59,55,67,65,65,81,89,77,85,Low,High,Right,3,2,M,
Rico Benatelli,Germany,Austria Klagenfurt,CDM,31,66,46,60,66,64,61,68,57,37,60,55,67,48,61,63,64,56,64,66,72,64,73,65,55,59,67,65,74,59,Medium,Low,Right,4,3,M,
Guillermo Benítez,Argentina,Huracán,LB,29,66,73,48,55,60,66,63,71,74,51,49,58,37,50,49,61,34,40,67,81,63,50,61,58,67,69,53,62,75,Medium,High,Left,2,2,M,
Miguel Ángel Benítez,Paraguay,Guaraní,LB,26,66,68,61,63,70,60,73,71,65,71,57,58,41,70,65,69,54,64,80,77,67,67,57,59,58,71,83,69,70,High,High,Left,3,2,M,
Jewison Bennette,Costa Rica,Sunderland,LM,19,66,85,57,57,71,27,44,88,82,63,61,53,46,49,61,58,33,56,85,76,60,49,24,34,24,50,57,43,31,High,Medium,Left,3,3,M,
Leider Berdugo,Colombia,Junior,CM,21,66,70,53,60,62,58,53,61,77,65,58,67,36,38,64,43,39,38,60,75,68,50,70,50,53,51,65,47,55,Medium,Medium,Left,3,2,M,
Gustav Berggren,Sweden,Raków,CDM,26,66,54,47,57,53,62,75,55,53,57,42,61,46,38,57,49,35,49,66,58,64,58,65,53,53,64,79,73,80,Medium,High,Right,2,2,M,
Emiliano Bermúdez,Uruguay,Danubio,GK,26,66,67,63,62,18,36,63,37,34,16,14,12,16,13,20,12,20,19,28,31,65,38,19,15,14,60,30,64,31,Medium,Medium,Right,3,1,M,69
Alexander Bernhardsson,Sweden,IF Elfsborg,RW,25,66,83,59,60,66,45,60,83,83,64,60,59,52,56,62,60,38,49,73,58,65,55,42,52,50,72,60,65,45,Medium,Medium,Right,3,2,M,
Steeve Beusnard,France,Pau FC,CM,31,66,70,58,66,70,63,53,68,71,53,62,64,61,63,72,59,57,58,67,90,68,71,61,54,61,57,61,50,51,High,Medium,Left,4,3,M,
Merveille Biankadi,Germany,Arminia Bielefeld,RM,28,66,76,57,59,70,54,74,74,77,59,59,58,43,41,60,58,50,58,73,71,59,58,48,55,55,75,83,75,62,Medium,Medium,Right,4,3,M,
Tom Bischof,Germany,TSG Hoffenheim,CAM,18,66,61,55,65,70,43,50,63,59,55,55,66,47,54,69,52,52,61,77,81,62,65,34,40,52,41,59,44,56,Medium,Medium,Left,3,3,M,
José Bizama,Chile,Palestino,RB,29,66,77,45,59,59,63,73,74,79,55,39,66,28,34,50,58,34,47,68,64,55,52,58,63,64,78,71,74,71,Medium,Medium,Right,3,2,M,
John Björkengren,Sweden,Randers FC,CDM,24,66,70,58,63,65,61,70,71,69,57,54,64,57,58,66,57,52,59,67,69,68,70,63,60,59,73,73,68,70,High,High,Left,3,2,M,
Sondre Flem Bjørshol,Norway,Viking FK,RB,29,66,76,30,55,59,60,73,77,76,50,31,56,21,33,44,63,29,41,65,67,60,60,62,45,62,70,80,73,64,High,Medium,Right,2,2,M,
Jamal Blackman,England,Burton Albion,GK,29,66,65,65,62,14,25,64,23,29,10,19,33,17,36,29,13,12,18,42,33,59,40,10,18,12,58,25,69,23,Medium,Medium,Right,2,1,M,68
Emmanuel Boateng,Ghana,New England,LM,29,66,89,61,60,64,41,63,90,89,60,62,56,57,46,64,55,44,58,91,90,59,58,38,30,38,67,55,71,53,High,Medium,Left,2,3,M,
Billy Bodin,Wales,Oxford United,CAM,31,66,73,64,63,68,46,57,74,73,59,65,59,62,65,65,65,66,62,75,78,64,65,38,62,34,70,64,59,38,Medium,Medium,Left,4,3,M,
Darijan Bojanić,Sweden,Ulsan Hyundai,CM,28,66,43,61,72,66,56,65,52,36,59,57,72,58,58,70,73,71,73,65,74,57,69,59,51,55,62,56,72,58,Low,Low,Right,4,3,M,
Kévin Boli,Côte d'Ivoire,Farul Constanța,CB,32,66,66,35,48,34,66,74,69,63,24,31,48,28,40,40,54,41,30,65,59,65,58,66,67,66,78,75,78,60,Medium,High,Right,3,2,M,
Bendegúz Bolla,Hungary,Servette FC,RB,23,66,77,51,59,68,60,64,78,77,59,48,53,34,43,54,63,52,64,68,61,65,63,59,42,58,61,75,61,60,High,Medium,Right,3,3,M,
Alexandre Bonnet,France,Quevilly Rouen,CM,36,66,70,65,68,67,51,60,73,67,63,64,67,54,74,66,68,67,71,87,82,63,69,61,46,37,64,63,66,42,Medium,Medium,Left,4,3,M,
Christopher Bonsu Baah,Ghana,KRC Genk,RM,18,66,81,63,58,75,29,56,82,80,50,61,53,64,42,48,60,41,67,76,76,60,69,30,29,24,58,61,59,44,High,Medium,Left,3,4,M,
Marco Borgnino,Argentina,Farul Constanța,RW,25,66,83,63,60,70,31,61,82,83,51,64,64,59,54,50,55,66,72,86,71,60,52,23,61,23,77,66,65,39,Medium,Medium,Left,3,3,M,
Osvaldo Bosso,Chile,Audax Italiano,CB,29,66,75,38,56,52,67,67,74,75,54,31,59,30,38,44,53,35,58,70,72,58,58,70,64,64,74,69,66,65,Medium,High,Right,3,2,M,
Kenji-Van Boto,Madagascar,Pau FC,LB,27,66,71,49,57,61,61,73,73,69,60,36,62,51,42,42,61,56,51,71,64,61,56,58,60,61,77,87,74,50,Medium,Medium,Left,4,2,M,
Carlo Boukhalfa,Germany,FC St. Pauli,CAM,24,66,67,61,62,66,60,74,64,69,65,62,69,37,39,66,49,38,44,66,67,63,53,61,62,60,75,73,76,72,Medium,Medium,Left,3,2,M,
Aymen Boutoutaou,Algeria,Valenciennes FC,RM,22,66,76,60,58,74,33,42,80,72,59,64,47,56,53,63,59,55,59,91,89,58,67,30,39,34,46,57,35,39,Medium,Medium,Right,2,3,M,
Ruben Bover,Spain,FC Andorra,CM,31,66,70,63,66,68,48,50,72,69,65,66,65,45,54,64,63,73,70,76,71,63,58,62,42,42,49,62,45,46,High,Medium,Left,3,3,M,
William Bøving,Denmark,SK Sturm Graz,ST,20,66,78,65,61,67,31,59,77,79,66,66,56,60,52,64,56,54,64,90,84,62,65,28,58,28,68,68,55,53,High,Medium,Right,3,3,M,
Chris Brady,United States,Chicago Fire FC,GK,19,66,67,64,62,9,29,66,31,26,5,7,21,7,11,35,10,12,14,39,27,58,28,10,14,11,58,21,64,26,Medium,Medium,Right,2,1,M,67
Christopher Braun,Germany,FC Rapid 1923,RB,32,66,78,44,59,61,62,70,77,78,57,45,62,23,41,57,62,32,44,73,70,60,61,62,51,63,74,70,74,58,Medium,Medium,Right,4,3,M,
